Year,Month,SWE,USD,EUR,CHF,GBR,JPN,CAN
2000,1,3.25,5.5,3,1.75,5.5,0,4.75
2000,2,3.25,5.5,3,1.75,5.75,0,4.7
2000,3,3.75,5.75,3.25,2.25,6,0,4.9
2000,4,3.75,6,3.5,3,6,0,5.25
2000,5,3.75,6,3.75,3,6,0,5.25
2000,6,3.75,6.5,3.75,3,6,0,5.75
2000,7,3.75,6.5,4.25,3.5,6,0,5.75
2000,8,3.75,6.5,4.25,3.5,6,0,5.75
2000,9,3.75,6.5,4.5,3.5,6,0.25,5.77
2000,10,3.75,6.5,4.5,3.5,6,0.25,5.75
2000,11,3.75,6.5,4.75,3.5,6,0.25,5.75
2000,12,3.75,6.5,4.75,3.5,6,0.25,5.75
2001,1,4,6.5,4.75,3.5,6,0.25,5.75
2001,2,4,5.5,4.75,3.5,6,0.25,5.48
2001,3,4,5.5,4.75,3.5,5.75,0.15,5.55
2001,4,4,5,4.75,3.25,5.75,0,5
2001,5,4,4.5,4.75,3.25,5.5,0,4.75
2001,6,4,4,4.5,3.25,5.25,0,4.5
2001,7,4,3.75,4.5,3.25,5.25,0,4.5
2001,8,4.25,3.75,4.5,3.25,5.25,0,4.25
2001,9,4.25,3.5,4.25,3.25,5,0,4
2001,10,3.75,3,3.75,2.25,4.75,0,3.5
2001,11,3.75,2.5,3.75,2.25,4.5,0,2.75
2001,12,3.75,2,3.25,2.25,4,0,2.25
2002,1,3.75,1.75,3.25,1.75,4,0,2.25
2002,2,3.75,1.75,3.25,1.75,4,0,2
2002,3,3.75,1.75,3.25,1.75,4,0,2
2002,4,4,1.75,3.25,1.75,4,0,2
2002,5,4.25,1.75,3.25,1.75,4,0,2.25
2002,6,4.25,1.75,3.25,1.25,4,0,2.25
2002,7,4.25,1.75,3.25,1.25,4,0,2.5
2002,8,4.25,1.75,3.25,0.75,4,0,2.75
2002,9,4.25,1.75,3.25,0.75,4,0,2.75
2002,10,4.25,1.75,3.25,0.75,4,0,2.75
2002,11,4.25,1.75,3.25,0.75,4,0,2.75
2002,12,4,1.25,3.25,0.75,4,0,2.75
2003,1,3.75,1.25,2.75,0.75,4,0,2.75
2003,2,3.75,1.25,2.75,0.75,4,0,2.75
2003,3,3.75,1.25,2.75,0.75,3.75,0,2.75
2003,4,3.5,1.25,2.5,0.25,3.75,0,3
2003,5,3.5,1.25,2.5,0.25,3.75,0,3.25
2003,6,3.5,1.25,2.5,0.25,3.75,0,3.25
2003,7,3,1,2,0.25,3.75,0,3.25
2003,8,2.75,1,2,0.25,3.5,0,3
2003,9,2.75,1,2,0.25,3.5,0,3
2003,10,2.75,1,2,0.25,3.5,0,2.75
2003,11,2.75,1,2,0.25,3.5,0,2.75
2003,12,2.75,1,2,0.25,3.75,0,2.75
2004,1,2.75,1,2,0.25,3.75,0,2.75
2004,2,2.75,1,2,0.25,3.75,0,2.5
2004,3,2.5,1,2,0.25,4,0,2.5
2004,4,2,1,2,0.25,4,0,2.25
2004,5,2,1,2,0.25,4,0,2
2004,6,2,1,2,0.25,4.25,0,2
2004,7,2,1.25,2,0.5,4.5,0,2
2004,8,2,1.25,2,0.5,4.5,0,2
2004,9,2,1.5,2,0.5,4.75,0,2
2004,10,2,1.75,2,0.75,4.75,0,2.25
2004,11,2,1.75,2,0.75,4.75,0,2.5
2004,12,2,2,2,0.75,4.75,0,2.5
2005,1,2,2.25,2,0.75,4.75,0,2.5
2005,2,2,2.25,2,0.75,4.75,0,2.5
2005,3,2,2.5,2,0.75,4.75,0,2.5
2005,4,2,2.75,2,0.75,4.75,0,2.5
2005,5,2,2.75,2,0.75,4.75,0,2.5
2005,6,2,3,2,0.75,4.75,0,2.5
2005,7,1.5,3.25,2,0.75,4.75,0,2.5
2005,8,1.5,3.25,2,0.75,4.75,0,2.5
2005,9,1.5,3.5,2,0.75,4.5,0,2.5
2005,10,1.5,3.75,2,0.75,4.5,0,2.75
2005,11,1.5,4,2,0.75,4.5,0,3
2005,12,1.5,4,2.25,0.75,4.5,0,3
2006,1,1.5,4.25,2.25,1,4.5,0,3.25
2006,2,1.75,4.5,2.25,1,4.5,0,3.5
2006,3,2,4.5,2.25,1,4.5,0,3.5
2006,4,2,4.75,2.5,1.25,4.5,0,3.75
2006,5,2,4.75,2.5,1.25,4.5,0,4
2006,6,2,5,2.5,1.25,4.5,0,4.25
2006,7,2.25,5.25,2.75,1.5,4.5,0,4.25
2006,8,2.25,5.25,2.75,1.5,4.5,0.25,4.25
2006,9,2.5,5.25,3,1.5,4.75,0.25,4.25
2006,10,2.5,5.25,3,1.75,4.75,0.25,4.25
2006,11,2.75,5.25,3.25,1.75,4.75,0.25,4.25
2006,12,2.75,5.25,3.25,1.75,5,0.25,4.25
2007,1,3,5.25,3.5,2,5,0.25,4.25
2007,2,3,5.25,3.5,2,5.25,0.25,4.25
2007,3,3.25,5.25,3.5,2,5.25,0.5,4.25
2007,4,3.25,5.25,3.75,2.25,5.25,0.5,4.25
2007,5,3.25,5.25,3.75,2.25,5.25,0.5,4.25
2007,6,3.25,5.25,3.75,2.25,5.5,0.5,4.25
2007,7,3.5,5.25,4,2.5,5.5,0.5,4.25
2007,8,3.5,5.25,4,2.5,5.75,0.5,4.5
2007,9,3.5,5.25,4,2.5,5.75,0.5,4.5
2007,10,3.75,4.75,4,2.75,5.75,0.5,4.5
2007,11,4,4.5,4,2.75,5.75,0.5,4.5
2007,12,4,4.5,4,2.75,5.75,0.5,4.5
2008,1,4,4.25,4,2.75,5.5,0.5,4.25
2008,2,4,3,4,2.75,5.5,0.5,4
2008,3,4.25,3,4,2.75,5.25,0.5,4
2008,4,4.25,2.25,4,2.75,5.25,0.5,3.5
2008,5,4.25,2,4,2.75,5,0.5,3
2008,6,4.25,2,4,2.75,5,0.5,3
2008,7,4.25,2,4,2.75,5,0.5,3
2008,8,4.5,2,4.25,2.75,5,0.5,3
2008,9,4.5,2,4.25,2.75,5,0.5,3
2008,10,4.75,2,4.25,2.75,5,0.5,3
2008,11,3.75,1,3.75,2.5,4.5,0.3,2.25
2008,12,3.75,1,3.25,1,3,0.3,2.25
2009,1,2,0.25,2.5,0.5,2,0.1,1.5
2009,2,2,0.25,2,0.5,1.5,0.1,1
2009,3,1,0.25,2,0.5,1,0.1,1
2009,4,1,0.25,1.5,0.25,0.5,0.1,0.5
2009,5,0.5,0.25,1.25,0.25,0.5,0.1,0.25
2009,6,0.5,0.25,1,0.25,0.5,0.1,0.25
2009,7,0.5,0.25,1,0.25,0.5,0.1,0.25
2009,8,0.25,0.25,1,0.25,0.5,0.1,0.25
2009,9,0.25,0.25,1,0.25,0.5,0.1,0.25
2009,10,0.25,0.25,1,0.25,0.5,0.1,0.25
2009,11,0.25,0.25,1,0.25,0.5,0.1,0.25
2009,12,0.25,0.25,1,0.25,0.5,0.1,0.25
2010,1,0.25,0.25,1,0.25,0.5,0.1,0.25
2010,2,0.25,0.25,1,0.25,0.5,0.1,0.25
2010,3,0.25,0.25,1,0.25,0.5,0.1,0.25
2010,4,0.25,0.25,1,0.25,0.5,0.1,0.25
2010,5,0.25,0.25,1,0.25,0.5,0.1,0.25
2010,6,0.25,0.25,1,0.25,0.5,0.1,0.5
2010,7,0.5,0.25,1,0.25,0.5,0.1,0.5
2010,8,0.75,0.25,1,0.25,0.5,0.1,0.75
2010,9,0.75,0.25,1,0.25,0.5,0.1,1
2010,10,1,0.25,1,0.25,0.5,0,1
2010,11,1,0.25,1,0.25,0.5,0,1
2010,12,1.25,0.25,1,0.25,0.5,0,1
2011,1,1.25,0.25,1,0.25,0.5,0,1
2011,2,1.5,0.25,1,0.25,0.5,0,1
2011,3,1.5,0.25,1,0.25,0.5,0,1
2011,4,1.75,0.25,1.25,0.25,0.5,0,1
2011,5,1.75,0.25,1.25,0.25,0.5,0,1
2011,6,1.75,0.25,1.25,0.25,0.5,0,1
2011,7,2,0.25,1.5,0.25,0.5,0,1
2011,8,2,0.25,1.5,0,0.5,0,1
2011,9,2,0.25,1.5,0,0.5,0,1
2011,10,2,0.25,1.5,0,0.5,0,1
2011,11,2,0.25,1.25,0,0.5,0,1
2011,12,1.75,0.25,1,0,0.5,0,1
2012,1,1.75,0.25,1,0,0.5,0,1
2012,2,1.5,0.25,1,0,0.5,0,1
2012,3,1.5,0.25,1,0,0.5,0,1
2012,4,1.5,0.25,1,0,0.5,0,1
2012,5,1.5,0.25,1,0,0.5,0,1
2012,6,1.5,0.25,1,0,0.5,0,1
2012,7,1.5,0.25,0.75,0,0.5,0,1
2012,8,1.5,0.25,0.75,0,0.5,0,1
2012,9,1.25,0.25,0.75,0,0.5,0,1
2012,10,1.25,0.25,0.75,0,0.5,0,1
2012,11,1.25,0.25,0.75,0,0.5,0,1
2012,12,1,0.25,0.75,0,0.5,0,1
2013,1,1,0.25,0.75,0,0.5,0,1
2013,2,1,0.25,0.75,0,0.5,0,1
2013,3,1,0.25,0.75,0,0.5,0,1
2013,4,1,0.25,0.75,0,0.5,0,1
2013,5,1,0.25,0.5,0,0.5,0,1
2013,6,1,0.25,0.5,0,0.5,0,1
2013,7,1,0.25,0.5,0,0.5,0,1
2013,8,1,0.25,0.5,0,0.5,0,1
2013,9,1,0.25,0.5,0,0.5,0,1
2013,10,1,0.25,0.5,0,0.5,0,1
2013,11,1,0.25,0.25,0,0.5,0,1
2013,12,0.75,0.25,0.25,0,0.5,0,1
2014,1,0.75,0.25,0.25,0,0.5,0,1
2014,2,0.75,0.25,0.25,0,0.5,0,1
2014,3,0.75,0.25,0.25,0,0.5,0,1
2014,4,0.75,0.25,0.25,0,0.5,0,1
2014,5,0.75,0.25,0.25,0,0.5,0,1
2014,6,0.75,0.25,0.15,0,0.5,0,1
2014,7,0.25,0.25,0.15,0,0.5,0,1
2014,8,0.25,0.25,0.15,0,0.5,0,1
2014,9,0.25,0.25,0.05,0,0.5,0,1
2014,10,0,0.25,0.05,0,0.5,0,1
2014,11,0,0.25,0.05,0,0.5,0,1
2014,12,0,0.25,0.05,0,0.5,0,1
2015,1,0,0.25,0.05,-0.75,0.5,0,0.75
2015,2,-0.1,0.25,0.05,-0.75,0.5,0,0.75
2015,3,-0.25,0.25,0.05,-0.75,0.5,0,0.75
2015,4,-0.25,0.25,0.05,-0.75,0.5,0,0.75
2015,5,-0.25,0.25,0.05,-0.75,0.5,0,0.75
2015,6,-0.25,0.25,0.05,-0.75,0.5,0,0.75
2015,7,-0.35,0.25,0.05,-0.75,0.5,0,0.5
2015,8,-0.35,0.25,0.05,-0.75,0.5,0,0.5
2015,9,-0.35,0.25,0.05,-0.75,0.5,0,0.5
2015,10,-0.35,0.25,0.05,-0.75,0.5,0,0.5
2015,11,-0.35,0.25,0.05,-0.75,0.5,0,0.5
2015,12,-0.35,0.5,0.05,-0.75,0.5,0,0.5
2016,1,-0.35,0.5,0.05,-0.75,0.5,-0.1,0.5
2016,2,-0.5,0.5,0.05,-0.75,0.5,-0.1,0.5
2016,3,-0.5,0.5,0,-0.75,0.5,-0.1,0.5
2016,4,-0.5,0.5,0,-0.75,0.5,-0.1,0.5
2016,5,-0.5,0.5,0,-0.75,0.5,-0.1,0.5
2016,6,-0.5,0.5,0,-0.75,0.5,-0.1,0.5
2016,7,-0.5,0.5,0,-0.75,0.5,-0.1,0.5
2016,8,-0.5,0.5,0,-0.75,0.25,-0.1,0.5
2016,9,-0.5,0.5,0,-0.75,0.25,-0.1,0.5
2016,10,-0.5,0.5,0,-0.75,0.25,-0.1,0.5
2016,11,-0.5,0.5,0,-0.75,0.25,-0.1,0.5
2016,12,-0.5,0.75,0,-0.75,0.25,-0.1,0.5
2017,1,-0.5,0.75,0,-0.75,0.25,-0.1,0.5
2017,2,-0.5,0.75,0,-0.75,0.25,-0.1,0.5
2017,3,-0.5,1,0,-0.75,0.25,-0.1,0.5
2017,4,-0.5,1,0,-0.75,0.25,-0.1,0.5
2017,5,-0.5,1,0,-0.75,0.25,-0.1,0.5
2017,6,-0.5,1.25,0,-0.75,0.25,-0.1,0.5
2017,7,-0.5,1.25,0,-0.75,0.25,-0.1,0.75
2017,8,-0.5,1.25,0,-0.75,0.25,-0.1,0.75
2017,9,-0.5,1.25,0,-0.75,0.25,-0.1,1
2017,10,-0.5,1.25,0,-0.75,0.25,-0.1,1
2017,11,-0.5,1.25,0,-0.75,0.5,-0.1,1
2017,12,-0.5,1.5,0,-0.75,0.5,-0.1,1
2018,1,-0.5,1.5,0,-0.75,0.5,-0.1,1.25
2018,2,-0.5,1.5,0,-0.75,0.5,-0.1,1.25
2018,3,-0.5,1.75,0,-0.75,0.5,-0.1,1.25
2018,4,-0.5,1.75,0,-0.75,0.5,-0.1,1.25
2018,5,-0.5,1.75,0,-0.75,0.5,-0.1,1.25
2018,6,-0.5,2,0,-0.75,0.5,-0.1,1.25
2018,7,-0.5,2,0,-0.75,0.5,-0.1,1.5
2018,8,-0.5,2,0,-0.75,0.75,-0.1,1.5
2018,9,-0.5,2.25,0,-0.75,0.75,-0.1,1.5
2018,10,-0.5,2.25,0,-0.75,0.75,-0.1,1.75
2018,11,-0.5,2.25,0,-0.75,0.75,-0.1,1.75
2018,12,-0.25,2.5,0,-0.75,0.75,-0.1,1.75
2019,1,-0.25,2.5,0,-0.75,0.75,-0.1,1.75
2019,2,-0.25,2.5,0,-0.75,0.75,-0.1,1.75
2019,3,-0.25,2.5,0,-0.75,0.75,-0.1,1.75
2019,4,-0.25,2.5,0,-0.75,0.75,-0.1,1.75
2019,5,-0.25,2.5,0,-0.75,0.75,-0.1,1.75
2019,6,-0.25,2.5,0,-0.75,0.75,-0.1,1.75
2019,7,-0.25,2.25,0,-0.75,0.75,-0.1,1.75
2019,8,-0.25,2.25,0,-0.75,0.75,-0.1,1.75
2019,9,-0.25,2,0,-0.75,0.75,-0.1,1.75
2019,10,-0.25,1.75,0,-0.75,0.75,-0.1,1.75
2019,11,-0.25,1.75,0,-0.75,0.75,-0.1,1.75
2019,12,0,1.75,0,-0.75,0.75,-0.1,1.75
2020,1,0,1.75,0,-0.75,0.75,-0.1,1.75
2020,2,0,1.75,0,-0.75,0.75,-0.1,1.75
2020,3,0,1.25,0,-0.75,0.25,-0.1,1.25
2020,4,0,0.25,0,-0.75,0.1,-0.1,0.25
2020,5,0,0.25,0,-0.75,0.1,-0.1,0.25
2020,6,0,0.25,0,-0.75,0.1,-0.1,0.25
2020,7,0,0.25,0,-0.75,0.1,-0.1,0.25
2020,8,0,0.25,0,-0.75,0.1,-0.1,0.25
2020,9,0,0.25,0,-0.75,0.1,-0.1,0.25
2020,10,0,0.25,0,-0.75,0.1,-0.1,0.25
2020,11,0,0.25,0,-0.75,0.1,-0.1,0.25
